Account Name	Account Number	Brand code	Brand name
Just Energy Account 00494	ACC00000494	JE	Just Energy
Shell Energy Account 00495	ACC00000495	SE	Shell Energy
Pulse Power Account 00496	ACC00000496	PP	Pulse Power
Just Energy Account 00497	ACC00000497	JE	Just Energy
Shell Energy Account 00498	ACC00000498	SE	Shell Energy
Pulse Power Account 00499	ACC00000499	PP	Pulse Power
Just Energy Account 00500	ACC00000500	JE	Just Energy
Shell Energy Account 00501	ACC00000501	SE	Shell Energy
Pulse Power Account 00502	ACC00000502	PP	Pulse Power
Just Energy Account 00503	ACC00000503	JE	Just Energy
Shell Energy Account 00504	ACC00000504	SE	Shell Energy
Pulse Power Account 00505	ACC00000505	PP	Pulse Power
Just Energy Account 00506	ACC00000506	JE	Just Energy
Shell Energy Account 00507	ACC00000507	SE	Shell Energy
Pulse Power Account 00508	ACC00000508	PP	Pulse Power
Just Energy Account 00509	ACC00000509	JE	Just Energy
Shell Energy Account 00510	ACC00000510	SE	Shell Energy
Pulse Power Account 00511	ACC00000511	PP	Pulse Power
Just Energy Account 00512	ACC00000512	JE	Just Energy
Shell Energy Account 00513	ACC00000513	SE	Shell Energy
Pulse Power Account 00514	ACC00000514	PP	Pulse Power
Just Energy Account 00515	ACC00000515	JE	Just Energy
Shell Energy Account 00516	ACC00000516	SE	Shell Energy
Pulse Power Account 00517	ACC00000517	PP	Pulse Power
Just Energy Account 00518	ACC00000518	JE	Just Energy
Shell Energy Account 00519	ACC00000519	SE	Shell Energy
Pulse Power Account 00520	ACC00000520	PP	Pulse Power
Just Energy Account 00521	ACC00000521	JE	Just Energy
Shell Energy Account 00522	ACC00000522	SE	Shell Energy
Pulse Power Account 00523	ACC00000523	PP	Pulse Power
Just Energy Account 00524	ACC00000524	JE	Just Energy
Shell Energy Account 00525	ACC00000525	SE	Shell Energy
Pulse Power Account 00526	ACC00000526	PP	Pulse Power
Just Energy Account 00527	ACC00000527	JE	Just Energy
Shell Energy Account 00528	ACC00000528	SE	Shell Energy
Pulse Power Account 00529	ACC00000529	PP	Pulse Power
Just Energy Account 00530	ACC00000530	JE	Just Energy
Shell Energy Account 00531	ACC00000531	SE	Shell Energy
Pulse Power Account 00532	ACC00000532	PP	Pulse Power
Just Energy Account 00533	ACC00000533	JE	Just Energy
Shell Energy Account 00534	ACC00000534	SE	Shell Energy
Pulse Power Account 00535	ACC00000535	PP	Pulse Power
Just Energy Account 00536	ACC00000536	JE	Just Energy
Shell Energy Account 00537	ACC00000537	SE	Shell Energy
Pulse Power Account 00538	ACC00000538	PP	Pulse Power
Just Energy Account 00539	ACC00000539	JE	Just Energy
Shell Energy Account 00540	ACC00000540	SE	Shell Energy
Pulse Power Account 00541	ACC00000541	PP	Pulse Power
Just Energy Account 00542	ACC00000542	JE	Just Energy
Shell Energy Account 00543	ACC00000543	SE	Shell Energy
Pulse Power Account 00544	ACC00000544	PP	Pulse Power
